Q,C,Alter1,Alter2 ,Alter3,Alter4
Mamalia terbesar di dunia,Paus biru,Paus biru,Gajah,Dinosaurus,Jerapah
Pulau yang memiliki wilayah terluas di Indonesia adalah Pulau ...,Kalimantan,Kalimantan,Jawa,Sulawesi,Sumatera
Nama Ibu kota Indonesia adalah ...,Jakarta,Jakarta,Surabaya,Balikpapan,Bali
Apa nama Ibu kota Singapura?,Singapura,Singapura,Kranji,Jurong,Bukit Batok
Ibu kota negara Jepang adalah ...,Tokyo,Tokyo,Osaka,Kobe,Hiroshima
Komponen utama penyusun atmosfer bumi berupa .…,gas,gas,padatan,cairan,batuan
Industri batu bara mengakibatkan hujan asam karena senyawa...,karbon dioksida,karbon dioksida,CFC,sulfur dioksida,hidrogen peroksida
Nama Ibu kota negara Thailand adalah ...,Bangkok,Bangkok,Pattaya,Puket,Udon Thani
Berikut yang termasuk planet terrestrial adalah .…,Mars,Mars,Jupiter,Uranus,Saturnus
Alat yang dipakai untuk mengukur suhu yaitu ...,Termometer,Termometer,Barometer,Roll meter,Neraca pegas
Satuan SI yang digunakan untuk menyatakan panjang yaitu ...,meter,meter,depa,kilogram,kubik
Ampere merupakan satuan SI untuk menyatakan ,kuat arus listrik,kuat arus listrik,panjang,massa,waktu
Alat indra manusia yang berfungsi sebagai indra peraba yaitu ...,kulit,kulit,hidung,telinga,lidah
Gaya tarik menarik yang terjadi antar partikel zat disebut dengan…,kohesi,kohesi,adhesi,massa jenis,kapilaritas
Berikut yang bukan termasuk besara pokok adalah...,volume,volume,panjang,massa,waktu
Sebuah larutan memiliki sifat asam apabila ...,pH < 7,pH < 7,pH = 7,pH +7,pH > 7
Berikut ini yang tidak termasuk satuan temperature adalah ...,Centipoise,Centipoise,Celcius,Fahrenheit,Kelvin
Jumlah sisi segitiga adalah ...,3,3,4,2,1
Jumlah sisi persegi adalah ...,4,4,3,5,6
Jumlah sisi persegi panjang adalah ...,4,4,3,5,6
Jumlah sisi jajargenjang adalah ...,4,4,5,6,7
Hasil dari 10 + (15 x 3) adalah ...,55,55,75,45,450
Kandungan terbesar dalam gas alam adalah,metana,metana,etana,butana,hektana
Enzim yang mengubah protein menjadi asam amino adalah enzim ...,tripsin,tripsin,lipase,amilase,glukolin
Salah satu keajaiban dunia yang berada di Indonesia adalah ...,Candi Borobudur,Candi Borobudur,Candi Mendut,Kraton Yogyakarta,Tugu Monas
Binatang Komodo berasal dari Pulau ...,Komodo,Komodo,Irian Jaya,Sumatra,Bali
Menara Pisa berada di Negara ...,Italia,Italia,Prancis,Cina,Jepang
Organ tubuh yang bertugas memompa darah ke seluruh tubuh adalah...,jantung,jantung,hati,pankreas,paru-paru
Yang merupakan gangguan pada organ pencernaan manusia adalah ...,asam lambung,asam lambung,mimisan,biduran,rabun jauh
Biomassa terbesar dalam piramida makanan ditempati oleh ...,produsen,produsen,konsumen 1,konsumen 2,konsumen 3
Limbah pertanian yang mengakibatkan pencemaran lingkungan adalah...,pestisida,pestisida,detergen,minyak,sisa makanan
Siapakah nama ilmuan penemu Kalkulator?,Blaise Pascal,Blaise Pascal,Robert Goddard,Eric Fawcett,Nikola Tesla
Siapakah nama ilmuan penemu Radio?,Guglielmo Marconi,Guglielmo Marconi,Anders Celsius,Karl Benz,Thomas Edison
Apakah simbol untuk unsur kimia Hidrogen?,H,H,Hy,HO,Hd
Apakah simbol untuk unsur kimia Kalsium?,Ca,Ca,Cl,C,Kal
Apakah simbol untuk unsur kimia Emas?,Au,Au,G,Gd,Zr
Gas apa yang paling banyak terdapat dipermukaan bumi?,Nitrogen,Nitrogen,Oksigen,Karbon,Hidrogen
Planet apakah yang seringkali disebut sebagai Planet Merah?,Mars,Mars,Jupiter,Uranus,Pluto
Magnet akan menarik benda-benda yang terbuat dari...,Besi,Besi,Karet,Plastik,Emas
Hewan berikut yang mengalami metamorfosis tidak sempurna adalah...,Kecoak,Kecoak,Lalat,Kupu-kupu,Katak
Serangga yang alami tahap kepompong dalam daur hidupnya adalah...,Nyamuk,Nyamuk,Laba-laba,Semut,Belalang
Apa nama sungai terpanjang di dunia?,Nil,Nil,Amazon,Kapuas,Mekong
Apa nama organisasi PBB yang mengurus permasalahan kesehatan dunia?,WHO,WHO,UNICEF,World Bank,Green Peace
Negara manakah yang memiliki wilayah terluas di dunia?,Rusia,Rusia,China,USA,Irlandia
Apa nama kerajaan yang pertamakali berdiri di Indonesia?,Kutai,Kutai,Singosari,Samudera Pasai,Majapahit
Planet terdekat dengan matahari adalah ….,Merkurius,Merkurius,Neptunus,Mars,Saturnus
Apakah makna kata Kalpataru dalam bahasa Sanskerta?,Pohon Kehidupan,Pohon Kehidupan,Pohon Kemuliaan,Pohon Keabadian,Pohon Langka
Negara manakah yang mempunyai garis pantai terpanjang di dunia?,Kanada,Kanada,Indonesia,Rusia,USA
Siapakah nama penulis novel berjudul Di Bawah Lindungan Ka’bah?,Hamka,Hamka,Rumi,Dee Lestari,N.H. Dini
Lagu Cik Cik Periuk adalah lagu daerah masyarakat ….,Kalimantan Barat,Kalimantan Barat,Sulawesi Utara,NTT,Jawa Barat
Bapak Pramuka Dunia adalah ….,Baden-Powell,Baden-Powell,Morse,Nico Thomas,Ellyas Pical
Siapakah perancang candi Borobudur?,Gunadharma,Gunadharma,Tulodong,Sambharabhudhara,Gadjah Mada
Flora khas dari daerah Nanggroe Aceh Darussalam adalah ….,Bunga Jeumpa,Bunga Jeumpa,Bunga Kenanga,Rafflesia,Suweg Raksasa
Apa nama latin dari tumbuhan Jagung?,Zea mays,Zea mays,Persea americana,Musa paradisiaca,Salacca zalacca
Alat musik khas dari daerah Sumatera Barat adalah...,Saluang,Saluang,Cengceng,Angklung,Gambus
Tari Pendet berasal dari daerah...,Bali,Bali,Ponorogo,Karawang,Tapanuli
Berapakah pecahan 7/9?,"0,78","0,78",1.82,0.98,0.35
Perpindahan dari kota ke desa disebut?,Ruralisasi,Ruralisasi,Transmigrasi,Urbanisasi,Imigrasi
Hasil pencampuran warna kuning dengan biru menghasilkan warna?,Hijau,Hijau,Merah,Oranye,Coklat
Siapakah pencipta lagu Hari Merdeka?,H. Mutahar,H. Mutahar,Sukarni,A.T. Mahmud,Ibu Soed
"Orang Jawa menyebut ""Lor"" untuk arah?",Utara,Utara,Selatan,Barat,Tenggara
Karakter robot utama berwarna kuning pada film Transformers adalah,Bumblebee,Bumblebee,Optimus Prime,Windblade,Blurr
Negara yang meraih Juara Piala Eropa 2016 adalah,Portugal,Portugal,Italia,Inggris,Jerman
Berikut ini yang artinya tutup/keluar kecuali...,Stop,Stop,Quit,Exit,Close
Angka 5 pada keyboard standar memiliki alternatif simbol...,%,%,$,#,@
Alat pernafasan tumbuhan di batang adalah...,Lentisel,Lentisel,Kambium,Stomata,Klorofil
Gaya yang dihasilkan ketapel adalah gaya...,Pegas,Pegas,Gesek,Gravitasi,Tarik menarik
Cabang Ilmu Biologi yang mempelajari tentang virus adalah,Virologi,Virologi,Anatomi,Epidemiologi,Ekologi
Rumah Honai adalah rumah adat khas daerah...,Papua,Papua,Lombok,Lampung,Aceh
Jumlah kaki kaljengking adalah,4 pasang,4 pasang,3 pasang,5 pasang,6 pasang
Hewan yang menjadi logo Gryffindor pada film Harry Potter adalah,Singa,Singa,Phoenix,Merak,Ular
Yang bukan nama clan dalam serial Game of Thrones adalah...,House Truck,House Truck,House Stark,House Arryn,House Targaryen
Negara di Asia Tenggara yang tidak pernah dijajah adalah...,Thailand,Thailand,Filipina,Vietnam,Laos
Berikut ini yang bukan merupakan personil BTS adalah,Seung-gi,Seung-gi,V,Jungkook,Jimin
Siapa nama asli Lisa Blackpink?,Pranpriya Manoban,Pranpriya Manoban,Muoi Vilailuck,Daw Temirak,Sroy Juntasa
Apa satuan yang digunakan dalam menghitung jumlah kertas?,Rim,Rim,Lusin,Liter,Pixel
Siapakah yang merancang bahasa pemrograman Python?,Guido van Rossum,Guido van Rossum,Larry Ellison,Elon Musk,Jeff Bezos
Siapakah pendiri sekaligus CEO Facebook?,Mark Zuckerberg,Mark Zuckerberg,Steve Ballmer,Bill Gates,Jeff Bezos
Siapakah nama bassist band Red Hot Chili Peppers?,Flea,Flea,Jack,Phil,Mark
Band asal Inggris yang penjualan albumnya terlaris sepanjang masa...,The Beatles,The Beatles,Coldplay,Linking Park,Paramore
"Makanan khas Indonesia yang rasanya gurih dan pedas, kecuali...",Getuk,Getuk,Seblak,Dendeng,Rujak
